,PADRE,MADRE,PADRE DE LA MADRE
R.P. D763 H.B.A 897449,EL ABRA JEWLIAN MELGA B938,EL ABRA QUEEN VOLGA C139,EL ABRA JEWLIAN A921
EL ABRA QUEEN VOLGA D763,,,
NACIÓ 02/12/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D766 H.B.A 897448,EL ABRA JEWLIAN MELGA B938,EL ABRA DUCHESS RANCE C417,EL ABRA HAYMOUNT 7413
EL ABRA DUCHESS RANCE D766,,,
NACIÓ 02/12/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D767 H.B.A 897447,EL ABRA JEWLIAN MELGA B938,EL ABRA QUEEN EBONETTE C212,EL ABRA JEWLIAN B091
EL ABRA QUEEN EBONETTE D767,,,
NACIÓ 02/12/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D773 H.B.A 897715,EL ABRA JEWLIAN MELGA B938,EL ABRA BARONESS IDRIS 8272,EL ABRA JEWLIAN 7224
EL ABRA BARONESS IDRIS D773,,,
NACIÓ 04/04/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D776 H.B.A 897719,EL ABRA HAYMOUNT C288,EL ABRA BUD 8364,EL ABRA HAYMOUNT 4480
EL ABRA BUD D776,,,
NACIÓ 03/03/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D790 H.B.A 897718,EL ABRA HAYMOUNT C288,EL ABRA ELGAR 8133,EL ABRA JEWLIAN 4184
EL ABRA ELGAR D790,,,
NACIÓ 03/03/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D802 H.B.A 898624,EL ABRA JEWLIAN MELGA A365,EL ABRA DUCHESS RANCE 7375,EL ABRA HAYMOUNT 4480
EL ABRA DUCHESS RANCE D802,,,
NACIÓ 01/05/23,,,
SERVIDA EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D808 H.B.A 898622,EL ABRA JEWLIAN MELGA A365,EL ABRA DUCHESS RANCE A916,EL ABRA WITBERT 8489
EL ABRA DUCHESS RANCE D808,,,
NACIÓ 01/05/23,,,
SERVIDA EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
